id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
250,2014,19-2040,Environmental Scientists and Geoscientists,broad,"129,310",1.3,39.09,"81,320",19.72,25.25,34.28,47.08,64.13,"41,020","52,520","71,290","97,920","133,390"
251,2014,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"88,740",1.4,34.64,"72,050",19.1,23.83,31.85,42.3,55.28,"39,730","49,570","66,250","87,980","114,990"
252,2014,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"34,000",3.1,50.67,"105,390",22.31,29.71,43.22,62.15,#,"46,400","61,800","89,910","129,270",#
253,2014,19-2043,Hydrologists,detailed,"6,580",3.5,39.39,"81,930",24.08,30.05,37.68,46.61,56.34,"50,090","62,490","78,370","96,950","117,190"
254,2014,19-2090,Miscellaneous Physical Scientists,broad,"23,030",2,46,"95,670",22.31,30.24,45.21,58.78,72.76,"46,400","62,900","94,030","122,270","151,340"
255,2014,19-2099,"Physical Scientists, All Other",detailed,"23,030",2,46,"95,670",22.31,30.24,45.21,58.78,72.76,"46,400","62,900","94,030","122,270","151,340"
256,2014,19-3000,Social Scientists and Related Workers,minor,"239,140",0.9,36.72,"76,380",18.98,25.3,34.15,44.92,56.53,"39,470","52,630","71,030","93,440","117,570"
257,2014,19-3010,Economists,broad,"18,680",3.1,50.62,"105,290",24.25,32.84,46.02,62.44,82.11,"50,440","68,310","95,710","129,880","170,780"
258,2014,19-3011,Economists,detailed,"18,680",3.1,50.62,"105,290",24.25,32.84,46.02,62.44,82.11,"50,440","68,310","95,710","129,880","170,780"
259,2014,19-3020,Survey Researchers,broad,"15,410",5.1,26.31,"54,730",9.13,13.98,23.92,35.34,45.71,"19,000","29,070","49,760","73,520","95,070"
260,2014,19-3022,Survey Researchers,detailed,"15,410",5.1,26.31,"54,730",9.13,13.98,23.92,35.34,45.71,"19,000","29,070","49,760","73,520","95,070"
261,2014,19-3030,Psychologists,broad,"117,820",1.1,36.44,"75,790",19.35,25.31,33.99,44.61,54.95,"40,240","52,650","70,700","92,790","114,290"
262,2014,19-3031,"Clinical, Counseling, and School Psychologists",detailed,"104,730",1.3,35.59,"74,030",19.27,24.99,33.12,43.19,54.63,"40,080","51,980","68,900","89,830","113,640"
